Toronto Raptors,2016,92.9
Atlanta Hawks,2016,97.1
Miami Heat,2016,93.6
Milwaukee Bucks,2016,94.2
Chicago Bulls,2016,95.7
Detroit Pistons,2016,95.1
New Orleans Pelicans,2016,96.8
New Orleans Pelicans,2015,91.4
New Orleans Pelicans,2014,92.2
New Orleans Hornets,2013,88.5
New Orleans Hornets,2012,88.3
Houston Rockets,2011,94.2
New Orleans Hornets,2010,92.6
Memphis Grizzlies,2009,90.1
Memphis Grizzlies,2008,95.3
Memphis Grizzlies,2007,93.6
Houston Rockets,2006,88.0
New Orleans/Oklahoma City Hornets,2006,89.0
Memphis Grizzlies,2006,86.3
Dallas Mavericks,2006,87.8
San Antonio Spurs,2006,88.5
Golden State Warriors,2006,93.3
Sacramento Kings,2006,91.9
Los Angeles Lakers,2006,90.9
Los Angeles Clippers,2006,91.7
Phoenix Suns,2006,95.8
Portland Trail Blazers,2006,87.6
Minnesota Timberwolves,2006,88.8
Seattle SuperSonics,2006,91.6
Utah Jazz,2006,87.8
Denver Nuggets,2006,93.9
Atlanta Hawks,2006,90.4
Charlotte Bobcats,2006,93.4
Orlando Magic,2006,88.3
Washington Wizards,2006,92.3
Miami Heat,2006,91.6
Milwaukee Bucks,2006,91.2
Chicago Bulls,2006,92.9
Indiana Pacers,2006,89.7
Cleveland Cavaliers,2006,89.8
Detroit Pistons,2006,86.8
New York Knicks,2006,90.8
Toronto Raptors,2006,91.1
Boston Celtics,2006,92.2
Philadelphia 76ers,2006,92.7
New Jersey Nets,2006,89.8
New Orleans/Oklahoma City Hornets,2007,90.2
Houston Rockets,2007,90.7
San Antonio Spurs,2007,89.8
Dallas Mavericks,2007,89.5
Sacramento Kings,2007,94.8
Los Angeles Clippers,2007,90.8
Golden State Warriors,2007,99.2
Los Angeles Lakers,2007,93.5
Phoenix Suns,2007,95.6
Seattle SuperSonics,2007,91.8
Minnesota Timberwolves,2007,91.0
Portland Trail Blazers,2007,88.3
Denver Nuggets,2007,97.4
Utah Jazz,2007,91.6
Atlanta Hawks,2007,90.0
Charlotte Bobcats,2007,92.0
Orlando Magic,2007,89.9
Washington Wizards,2007,94.1
Miami Heat,2007,89.9
Milwaukee Bucks,2007,92.3
Indiana Pacers,2007,92.4
Chicago Bulls,2007,93.6
Cleveland Cavaliers,2007,90.8
Detroit Pistons,2007,87.3
Boston Celtics,2007,92.0
New York Knicks,2007,90.8
Philadelphia 76ers,2007,90.7
New Jersey Nets,2007,91.4
Toronto Raptors,2007,92.6
Dallas Mavericks,2008,90.2
Houston Rockets,2008,90.4
San Antonio Spurs,2008,88.8
New Orleans Hornets,2008,89.9
Los Angeles Clippers,2008,92.1
Sacramento Kings,2008,94.7
Golden State Warriors,2008,98.8
Phoenix Suns,2008,96.7
Los Angeles Lakers,2008,95.6
Seattle SuperSonics,2008,96.3
Minnesota Timberwolves,2008,91.9
Portland Trail Blazers,2008,87.9
Denver Nuggets,2008,99.7
Utah Jazz,2008,93.2
Miami Heat,2008,90.2
Charlotte Bobcats,2008,91.8
Atlanta Hawks,2008,91.1
Washington Wizards,2008,89.5
Orlando Magic,2008,93.4
Milwaukee Bucks,2008,91.3
Chicago Bulls,2008,93.0
Indiana Pacers,2008,97.7
Cleveland Cavaliers,2008,90.2
Detroit Pistons,2008,87.3
New York Knicks,2008,91.6
New Jersey Nets,2008,91.5
Philadelphia 76ers,2008,90.4
Toronto Raptors,2008,90.2
Boston Celtics,2008,90.9
New Orleans Hornets,2009,87.8
Dallas Mavericks,2009,91.5
Houston Rockets,2009,90.2
San Antonio Spurs,2009,88.4
Sacramento Kings,2009,94.2
Los Angeles Clippers,2009,92.1
Golden State Warriors,2009,98.2
Phoenix Suns,2009,96.0
Los Angeles Lakers,2009,94.3
Oklahoma City Thunder,2009,93.6
Minnesota Timberwolves,2009,91.6
Utah Jazz,2009,93.1
Portland Trail Blazers,2009,86.6
Denver Nuggets,2009,94.3
Washington Wizards,2009,91.0
Charlotte Bobcats,2009,88.3
Miami Heat,2009,89.9
