Jimmy Butler,Chicago Bulls,2016,26,21.3
Pau Gasol,Chicago Bulls,2016,35,21.7
Derrick Rose,Chicago Bulls,2016,27,13.5
Taj Gibson,Chicago Bulls,2016,30,15.7
Doug McDermott,Chicago Bulls,2016,24,10.9
Nikola Mirotic,Chicago Bulls,2016,24,15.6
Tony Snell,Chicago Bulls,2016,24,6.4
E'Twaun Moore,Chicago Bulls,2016,26,11.4
Aaron Brooks,Chicago Bulls,2016,31,11.8
Bobby Portis,Chicago Bulls,2016,20,13.8
Mike Dunleavy,Chicago Bulls,2016,35,9.1
Joakim Noah,Chicago Bulls,2016,30,14.1
Kirk Hinrich,Chicago Bulls,2016,35,7.3
Justin Holiday,Chicago Bulls,2016,26,11.8
Cristiano Felicio,Chicago Bulls,2016,23,17.6
Cameron Bairstow,Chicago Bulls,2016,25,6.8
Marcus Morris,Detroit Pistons,2016,26,12.7
Kentavious Caldwell-Pope,Detroit Pistons,2016,22,12.4
Andre Drummond,Detroit Pistons,2016,22,21.2
Reggie Jackson,Detroit Pistons,2016,25,19.6
Stanley Johnson,Detroit Pistons,2016,19,8.7
Ersan Ilyasova,Detroit Pistons,2016,28,14.1
Anthony Tolliver,Detroit Pistons,2016,30,10.2
Aron Baynes,Detroit Pistons,2016,29,17.8
Steve Blake,Detroit Pistons,2016,35,9.8
Tobias Harris,Detroit Pistons,2016,23,18.2
Reggie Bullock,Detroit Pistons,2016,24,12.0
Brandon Jennings,Detroit Pistons,2016,26,13.1
Darrun Hilliard,Detroit Pistons,2016,22,10.7
Spencer Dinwiddie,Detroit Pistons,2016,22,8.9
Joel Anthony,Detroit Pistons,2016,33,14.1
Jodie Meeks,Detroit Pistons,2016,28,13.5
Justin Harper,Detroit Pistons,2016,26,6.9
Paul George,Indiana Pacers,2016,25,20.9
Monta Ellis,Indiana Pacers,2016,30,13.7
George Hill,Indiana Pacers,2016,29,13.2
Ian Mahinmi,Indiana Pacers,2016,29,16.6
Lavoy Allen,Indiana Pacers,2016,26,12.4
Jordan Hill,Indiana Pacers,2016,28,16.4
C.J. Miles,Indiana Pacers,2016,28,14.0
Myles Turner,Indiana Pacers,2016,19,15.4
Rodney Stuckey,Indiana Pacers,2016,29,12.6
Solomon Hill,Indiana Pacers,2016,24,12.2
Chase Budinger,Indiana Pacers,2016,27,11.1
Glenn Robinson,Indiana Pacers,2016,22,11.4
Joe Young,Indiana Pacers,2016,23,9.9
Ty Lawson,Indiana Pacers,2016,28,13.7
